cms_2021,cms_now,revenue,count,cms_2020,cms_2020_idx,cms_now_idx
Blackboard,Finalsite Current,111136.0,8,Blackboard 2020,11,10
Campus Suite,Finalsite Current,27900.0,2,Campus Suite 2020,5,10
Catapult CMS,Finalsite Current,14000.0,1,Catapult CMS 2020,1,10
Edlio,Finalsite Current,96670.0,4,Edlio 2020,16,10
Educational Networks,Finalsite Current,19650.0,2,Educational Networks 2020,3,10
Finalsite,Blackboard Current,6000.0,2,Finalsite 2020,17,8
Finalsite,Campus Suite Current,7500.0,1,Finalsite 2020,17,14
Finalsite,General CMS Current,46824.0,4,Finalsite 2020,17,13
Finalsite,School Blocks Current,10500.0,1,Finalsite 2020,17,15
Finalsite,SchoolMessenger Current,20260.0,1,Finalsite 2020,17,9
General CMS,Finalsite Current,279450.0,17,General CMS 2020,2,10
SCHOOLinSITES,Finalsite Current,8500.0,1,SCHOOLinSITES 2020,7,10
School Blocks,Finalsite Current,5800.0,1,School Blocks 2020,0,10
SchoolMessenger,Finalsite Current,130542.4,9,SchoolMessenger 2020,6,10
SchoolPointe,Finalsite Current,27300.0,2,SchoolPointe 2020,12,10
Web Builder,Finalsite Current,56970.0,6,Web Builder 2020,4,10
